"condition" "subject" "block" "acc_mean" "rt_mean"
1 13 31 0.72 1.438616
1 15 31 0.6 1.410084
1 16 31 0.28 1.053652
1 18 31 0.4 0.65436
1 19 31 0.84 1.451028
1 20 31 0.36 0.508796
1 21 31 0.24 1.160056
1 23 31 0.2 1.094896
1 24 31 0.8 1.48896
1 26 31 0.08 0.534344
1 27 31 0.04 1.404624
1 28 31 0.68 1.069072
1 29 31 0.8 2.873932
1 30 31 0.16 1.317084
1 2 32 0.52 0.881212
1 3 32 0.24 0.365184
1 5 32 0.64 1.727948
1 6 32 0.4 1.831644
1 7 32 0.24 0.524648
1 9 32 0.4 1.446068
1 10 32 0.44 1.092572
1 11 32 0.76 0.99346
1 12 32 0.04 0.88874
1 13 32 0.84 1.555812
1 15 32 0.64 1.531236
1 16 32 0.32 0.784624
1 18 32 0.36 0.172896
1 19 32 0.8 1.131044
1 20 32 0.48 0.683684
1 21 32 0.52 2.01094
1 23 32 0.2 0.347248
1 24 32 0.84 1.397888
1 26 32 0.36 0.606484
1 27 32 0.12 2.799576
1 28 32 0.88 0.827628
1 29 32 0.72 1.539848
1 30 32 0.32 0.178696
1 2 33 0.44 0.830836
1 3 33 0.12 0.35004
1 5 33 0.84 1.273496
1 6 33 0.28 1.875152
1 7 33 0.4 1.061408
1 9 33 0.56 2.912068
1 10 33 0.52 1.056212
1 11 33 0.68 1.257224
1 12 33 0.24 0.9538
1 13 33 0.92 1.481624
1 15 33 0.44 0.788848
1 16 33 0.48 1.982404
1 18 33 0.32 0.433352
1 19 33 0.64 1.063912
1 20 33 0.68 0.879688
1 21 33 0.32 0.979108
1 23 33 0.36 0.614068
1 24 33 0.8 1.440148
1 26 33 0.24 0.673064
1 27 33 0.16 1.51766
1 28 33 0.76 0.73508
1 29 33 0.84 1.61386
1 30 33 0.28 1.54862
1 2 34 0.52 0.883928
1 3 34 0.24 0.654496
1 5 34 0.84 0.878836
1 6 34 0.36 0.404844
1 7 34 0.52 1.072744
1 9 34 0.56 1.914496
1 10 34 0.6 0.967576
1 11 34 0.36 1.160228
1 12 34 0.12 0.407996
1 13 34 0.8 1.412112
1 15 34 0.64 2.102556
1 16 34 0.96 1.285084
1 18 34 0.2 0.453456
1 19 34 0.64 1.842196
1 20 34 0.68 0.756664
1 21 34 0.44 1.358312
1 23 34 0.4 0.61812
1 24 34 0.76 1.228636
1 26 34 0.2 0.348736
1 27 34 0.28 0.789564
1 28 34 0.76 0.681604
1 29 34 0.92 3.53818
1 30 34 0.16 0.8781
2 2 1 0.36 1.353144
2 3 1 0.28 1.087252
2 5 1 0.6 1.057036
2 6 1 0.32 0.649976
2 7 1 0.4 1.042668
2 8 1 0.28 1.428684
2 10 1 0.48 1.280348
2 11 1 0.36 3.893036
2 12 1 0.48 1.899892
2 13 1 0.32 1.5395
2 14 1 0.36 2.638844
2 15 1 0.56 2.103668
2 16 1 0.56 0.86354
2 17 1 0.36 1.864412
2 18 1 0.36 1.072636
2 19 1 0.44 1.85962
2 21 1 0.28 1.973092
2 23 1 0.36 1.75172
2 24 1 0.32 1.122444
2 25 1 0.2 1.371172
2 27 1 0.28 1.92958
2 28 1 0.4 1.244844
2 30 1 0.68 1.551224
2 32 1 0.48 1.485512
2 33 1 0.12 1.135004
2 2 2 0.68 1.704524
2 3 2 0.28 0.833768
2 5 2 0.76 0.996816
2 6 2 0.52 0.896936
2 7 2 0.64 0.857128
2 8 2 0.44 0.644076
2 10 2 0.48 1.072724
2 11 2 0.64 2.867896
2 12 2 0.6 1.174492
2 13 2 0.4 1.421424
2 14 2 0.56 1.66662
2 15 2 0.76 2.7949
2 16 2 0.4 0.698976
2 17 2 0.56 1.132592
2 18 2 0.44 1.24388
2 19 2 0.32 1.4915
2 21 2 0.56 1.659576
2 23 2 0.64 1.60972
2 24 2 0.52 0.955192
2 25 2 0.44 1.05318
2 27 2 0.4 1.687888
2 28 2 0.68 1.143052
2 30 2 0.4 1.626372
2 32 2 0.56 1.334836
2 33 2 0.6 0.988092
2 2 3 0.6 1.575556
2 3 3 0.28 0.934812
2 5 3 0.88 1.158644
2 6 3 0.76 1.009128
2 7 3 0.72 0.8723
2 8 3 0.28 0.627352
2 10 3 0.64 1.153168
2 11 3 0.8 1.551208
2 12 3 0.48 1.808052
2 13 3 0.56 1.50908
2 14 3 0.52 1.58452
2 15 3 0.8 1.841216
2 16 3 0.64 0.825508
2 17 3 0.64 1.055108
2 18 3 0.52 1.151076
2 19 3 0.28 1.460396
2 21 3 0.48 1.508204
2 23 3 0.36 1.12672
2 24 3 0.48 0.815044
2 25 3 0.36 1.1251
2 27 3 0.36 1.01792
2 28 3 0.84 1.119024
2 30 3 0.8 0.91356
2 32 3 0.72 1.05024
2 33 3 0.36 0.943792
2 2 4 0.64 1.20198
2 3 4 0.68 1.027972
2 5 4 0.72 1.284536
2 6 4 0.88 1.081648
2 7 4 0.72 0.899924
2 8 4 0.48 1.562984
2 10 4 0.44 1.318372
2 11 4 0.84 1.62812
2 12 4 0.44 1.88402
2 13 4 0.6 1.3094
2 14 4 0.88 1.053392
2 15 4 0.76 1.80332
2 16 4 0.4 0.687564
2 17 4 0.6 1.382556
2 18 4 0.76 1.172204
2 19 4 0.36 1.819888
2 21 4 0.64 1.543224
2 23 4 0.36 0.831152
2 24 4 0.64 0.955276
2 25 4 0.56 0.913192
2 27 4 0.48 1.2011
2 28 4 0.84 0.785636
2 30 4 0.44 1.030732
2 32 4 0.6 1.382784
2 33 4 0.56 0.75374
2 2 5 0.68 1.522088
2 3 5 0.68 0.9726
2 5 5 0.76 1.093672
